version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,prompt_architect,baseline,v0+p233ec2cecfdf+teb3e2243f237,233ec2cecfdfd80b3879531dfe64e2c1903f39fe0facc08f9bed6fcc064b33f5,eb3e2243f23747297c1204e5e56f852f5e869f00cb97baae7786baefcabbc419,Baseline starter prompt and tool declarations,The unoptimized starter is the comparison point,case_accuracy,,0.7,runs/v0_B_base_openrouter_20260914T184142815837.json
v1,prompt_architect,system_prompt.md,v1+p21a810f61a13+teb3e2243f237,21a810f61a137c6135f645cfa92693259ad13384faf229b3206da6d0d252a091,eb3e2243f23747297c1204e5e56f852f5e869f00cb97baae7786baefcabbc419,Add routing context confirmation and JSON reply rules,Clear capability and latest-turn rules should improve routing without changing the schema,tool_routing_accuracy,0.7667,0.9667,runs/v1_B_base_openrouter_20260914T230116786440.json
v2,tool_schema_engineer,tools.yaml,v2+p21a810f61a13+t7691fb47ce0d,21a810f61a137c6135f645cfa92693259ad13384faf229b3206da6d0d252a091,7691fb47ce0d888820033d0f53bf8ea324bb4d13713ba8792534252be3a40e51,Clarify tool boundaries required arguments enums and external-search privacy,Explicit schemas should improve routing and argument extraction after v1,case_accuracy,0.7,0.9667,runs/v2_B_base_openrouter_20260914T230207463733.json
v3,integration,system_prompt.md+tools.yaml,v3+pd0abfb768336+t0948462d2f2d,d0abfb768336db7848633ffadbef606000e6dc50d29fb7263d4004d699a2789a,0948462d2f2d350aa3d03beb1fcfd7fde2d9c224ba7062f0d324f3fc5bd125df,Strengthen safety routing and add deterministic network diagnostic bonus,Explicit prompt and schema gates plus isolated numeric diagnostic routing should preserve v2 gains without core regression,case_accuracy,0.9667,1.0,runs/v3_B_base_openrouter_20260915T111302951390.json
